Iter: 1 | Zinf: 100,00 | Zsup: 646717,69 | Incumbent: 999999999999999926539781176481198923508803215199467887262646419780362305536,00 | O_Cuts: 192 | FCuts: 0 | Time: 12,80 (s)
Iter: 2 | Zinf: 100,00 | Zsup: 656145,53 | Incumbent: 999999999999999926539781176481198923508803215199467887262646419780362305536,00 | O_Cuts: 384 | FCuts: 0 | Time: 19,40 (s)
Iter: 3 | Zinf: 100,00 | Zsup: 679161,61 | Incumbent: 999999999999999926539781176481198923508803215199467887262646419780362305536,00 | O_Cuts: 576 | FCuts: 0 | Time: 27,69 (s)
Iter: 4 | Zinf: 679161,61 | Zsup: 679161,61 | Incumbent: 999999999999999926539781176481198923508803215199467887262646419780362305536,00 | O_Cuts: 576 | FCuts: 0 | Time: 31,97 (s)
Iter: 5 | Zinf: 100,00 | Zsup: 606646,10 | Incumbent: 679161,61 | O_Cuts: 768 | FCuts: 0 | Time: 36,37 (s)
Iter: 6 | Zinf: 180,00 | Zsup: 592732,47 | Incumbent: 679161,61 | O_Cuts: 960 | FCuts: 0 | Time: 40,01 (s)
Iter: 7 | Zinf: 100,00 | Zsup: 641224,39 | Incumbent: 679161,61 | O_Cuts: 1152 | FCuts: 0 | Time: 42,88 (s)
Iter: 8 | Zinf: 641224,39 | Zsup: 641224,39 | Incumbent: 679161,61 | O_Cuts: 1152 | FCuts: 0 | Time: 45,37 (s)
Iter: 9 | Zinf: 100,00 | Zsup: 640401,51 | Incumbent: 641224,39 | O_Cuts: 1344 | FCuts: 0 | Time: 48,10 (s)
Iter: 10 | Zinf: 100,00 | Zsup: 661527,46 | Incumbent: 641224,39 | O_Cuts: 1536 | FCuts: 0 | Time: 50,68 (s)
Iter: 11 | Zinf: 100,00 | Zsup: 628276,36 | Incumbent: 641224,39 | O_Cuts: 1728 | FCuts: 0 | Time: 53,34 (s)
Iter: 12 | Zinf: 100,00 | Zsup: 628276,36 | Incumbent: 641224,39 | O_Cuts: 1920 | FCuts: 0 | Time: 56,10 (s)
Iter: 13 | Zinf: 220,00 | Zsup: 599528,19 | Incumbent: 641224,39 | O_Cuts: 2112 | FCuts: 0 | Time: 59,19 (s)
Iter: 14 | Zinf: 250,00 | Zsup: 599558,19 | Incumbent: 641224,39 | O_Cuts: 2304 | FCuts: 0 | Time: 62,10 (s)
Iter: 15 | Zinf: 300,00 | Zsup: 594450,10 | Incumbent: 641224,39 | O_Cuts: 2496 | FCuts: 0 | Time: 65,86 (s)
Iter: 16 | Zinf: 260,00 | Zsup: 621723,36 | Incumbent: 641224,39 | O_Cuts: 2688 | FCuts: 0 | Time: 69,33 (s)
Iter: 17 | Zinf: 310,00 | Zsup: 621773,36 | Incumbent: 641224,39 | O_Cuts: 2880 | FCuts: 0 | Time: 72,64 (s)
Iter: 18 | Zinf: 360,00 | Zsup: 621823,36 | Incumbent: 641224,39 | O_Cuts: 3072 | FCuts: 0 | Time: 75,93 (s)
