Callbacks; Zinf; Zsup; Incumbent; O_Cuts; F_Cuts; Time (s)
1;100,00;646717,69;999999999999999926539781176481198923508803215199467887262646419780362305536,00;192;0;12,80
2;100,00;656145,53;999999999999999926539781176481198923508803215199467887262646419780362305536,00;384;0;19,40
3;100,00;679161,61;999999999999999926539781176481198923508803215199467887262646419780362305536,00;576;0;27,69
4;679161,61;679161,61;999999999999999926539781176481198923508803215199467887262646419780362305536,00;576;0;31,97
5;100,00;606646,10;679161,61;768;0;36,37
6;180,00;592732,47;679161,61;960;0;40,01
7;100,00;641224,39;679161,61;1152;0;42,88
8;641224,39;641224,39;679161,61;1152;0;45,37
9;100,00;640401,51;641224,39;1344;0;48,10
10;100,00;661527,46;641224,39;1536;0;50,68
11;100,00;628276,36;641224,39;1728;0;53,34
12;100,00;628276,36;641224,39;1920;0;56,10
13;220,00;599528,19;641224,39;2112;0;59,19
14;250,00;599558,19;641224,39;2304;0;62,10
15;300,00;594450,10;641224,39;2496;0;65,86
16;260,00;621723,36;641224,39;2688;0;69,33
17;310,00;621773,36;641224,39;2880;0;72,64
18;360,00;621823,36;641224,39;3072;0;75,93
19;449325,00;679221,61;641224,39;3264;0;79,07
20;258034,28;660888,43;641224,39;3456;0;81,89
21;621803,36;621803,36;641224,39;3456;0;84,58
22;364563,49;596148,08;621803,36;3648;0;87,45
23;364593,49;593923,34;621803,36;3840;0;90,40
24;365109,47;594439,31;621803,36;4032;0;93,77
25;365139,47;594469,31;621803,36;4224;0;96,70
26;365169,47;594499,31;621803,36;4416;0;99,69
27;405556,81;634886,66;621803,36;4608;0;102,25
28;405556,81;634886,66;621803,36;4800;0;104,94
29;405586,81;634916,66;621803,36;4992;0;108,08
30;594499,31;594499,31;621803,36;4992;0;111,23
31;594439,31;594439,31;594499,31;4992;0;114,04
32;210,00;660274,02;594439,31;5184;0;116,79
33;250,00;615078,25;594439,31;5376;0;119,39
34;260,00;660324,02;594439,31;5568;0;121,86
35;403134,15;660344,02;594439,31;5760;0;123,89
36;403134,15;660344,02;594439,31;5952;0;125,77
37;263526,89;621145,28;594439,31;6144;0;128,94
38;263546,89;620400,72;594439,31;6336;0;132,36
39;263566,89;620420,72;594439,31;6528;0;135,73
40;263586,89;620440,72;594439,31;6720;0;138,93
41;263606,89;620460,72;594439,31;6912;0;142,07
42;263626,89;620480,72;594439,31;7104;0;144,81
