Iter: 1 | Zinf: 100,00 | Zsup: 606646,10 | minZsup: 606646,10 | O_Cuts: 192 | FCuts: 0 | Time: 2,67 (s)
Iter: 2 | Zinf: 100,00 | Zsup: 661527,46 | minZsup: 606646,10 | O_Cuts: 384 | FCuts: 0 | Time: 5,08 (s)
Iter: 3 | Zinf: 100,00 | Zsup: 656145,53 | minZsup: 606646,10 | O_Cuts: 576 | FCuts: 0 | Time: 7,67 (s)
Iter: 4 | Zinf: 100,00 | Zsup: 646717,69 | minZsup: 606646,10 | O_Cuts: 768 | FCuts: 0 | Time: 9,91 (s)
Iter: 5 | Zinf: 100,00 | Zsup: 679161,61 | minZsup: 606646,10 | O_Cuts: 960 | FCuts: 0 | Time: 12,59 (s)
Iter: 6 | Zinf: 100,00 | Zsup: 641224,39 | minZsup: 606646,10 | O_Cuts: 1152 | FCuts: 0 | Time: 15,12 (s)
Iter: 7 | Zinf: 100,00 | Zsup: 623284,01 | minZsup: 606646,10 | O_Cuts: 1344 | FCuts: 0 | Time: 17,88 (s)
Iter: 8 | Zinf: 100,00 | Zsup: 628276,36 | minZsup: 606646,10 | O_Cuts: 1536 | FCuts: 0 | Time: 20,71 (s)
Iter: 9 | Zinf: 100,00 | Zsup: 640401,51 | minZsup: 606646,10 | O_Cuts: 1728 | FCuts: 0 | Time: 23,47 (s)
Iter: 10 | Zinf: 150,00 | Zsup: 660214,02 | minZsup: 606646,10 | O_Cuts: 1920 | FCuts: 0 | Time: 25,97 (s)
Iter: 11 | Zinf: 150,00 | Zsup: 655195,71 | minZsup: 606646,10 | O_Cuts: 2112 | FCuts: 0 | Time: 28,67 (s)
Iter: 12 | Zinf: 180,00 | Zsup: 592732,47 | minZsup: 592732,47 | O_Cuts: 2304 | FCuts: 0 | Time: 31,53 (s)
Iter: 13 | Zinf: 190,00 | Zsup: 621653,36 | minZsup: 592732,47 | O_Cuts: 2496 | FCuts: 0 | Time: 34,07 (s)
Iter: 14 | Zinf: 190,00 | Zsup: 632264,88 | minZsup: 592732,47 | O_Cuts: 2688 | FCuts: 0 | Time: 37,08 (s)
